ADMIN,ADMO_A3,Alcohol consumed among persons,ranking by WHO for alcohol use,percentage of population who said religious belief was important,percentage Christian,percentage Muslim,Percentage Atheist/Agnostic
Armenia,ARM,5.30,109.00,73.00,94.80,0.10,4.00
Azerbaijan,AZE,2.30,146.00,50.00,1.10,97.40,1.00
Belarus,BLR,17.60,1.00,34.00,55.40,0.16,41.10
Estonia,EST,10.30,37.00,16.00,45.00,0.14,37.00
Georgia,GEO,7.70,67.00,81.00,86.80,10.70,0.50
Kazakhstan,KAZ,10.30,39.00,43.00,24.70,70.40,4.20
Kyrgyzstan,KGZ,4.30,118.00,72.00,17.00,80.00,3.00
Lithuania,LTU,15.50,3.00,42.00,82.90,0.10,6.10
Latvia,LVA,12.30,15.00,39.00,78.90,0.01,11.00
Moldova,MDA,16.80,2.00,72.00,95.52,0.00,1.36
Russia,RUS,15.10,4.00,34.00,47.40,6.60,13.00
Tajikistan,TJK,2.80,141.00,85.00,1.60,96.70,1.50
Turkmenistan,TKM,4.30,120.00,80.00,10.00,89.00,1.00
Ukraine,UKR,13.90,6.00,46.00,81.90,1.10,2.70
Uzbekistan,UZB,4.60,115.00,51.00,3.00,96.30,0.10
